# this was run on 2017-10-07 using the wdmerger problem in 3-d on
# titan with the PGI 17.7 compilers.

# problem size: 256^3, max_grid_size=32
# single level: 512 boxes at max

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    stddev
   64     1       64         4         32         256        0              37.0713         0.189262
  128     1      128         8         32         256        0              18.8354         0.0999653
  256     1      256        16         32         256        0               9.64843        0.0564946
  512     1      512        32         32         256        0               4.96933        0.0271702
  512     2     1024        64         32         256        0               2.69029        0.0417153
  512     4     2048       128         32         256        0               1.59607        0.0281456
# 1024     4     4096       256         32         256        0               1.41143        0.0101482


# one AMR level (4x)

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    stddev
  128     4      512        32         32         256        1                53.6792       2.40441
  256     4     1024        64         32         256        1                30.104        0.950528
  512     4     2048       128         32         256        1                19.718        0.659894
#  512     8     4096       256         32         256        1                15.1611       0.554613
 1024     4     4096       256         32         256        1                14.0598       0.769543
 2048     4     8192       512         32         256        1                13.5301       0.882619


# two AMR level (4x, 2x)

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    stddev
  256     4     1024        64         32         256        2               104.924        2.2645
  512     4     2048       128         32         256        2                68.8377       1.26659
 1024     4     4096       256         32         256        2                46.0887       1.44635
 2048     4     8192       512         32         256        2                44.116        1.78023
 2048     8    16384      1024         32         256        2                43.7937       2.36656



# problem size: 512^3, max_grid_size = 32
# single level: 4096 boxes at max

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    stddev
  512     1      512        32         32         512        0                39.0762       0.270942
 1024     1     1024        64         32         512        0                20.6763       0.153724
 2048     1     2048       128         32         512        0                11.307        0.0863866
 4096     1     4096       256         32         512        0                 6.66855      0.086108
 4096     2     8192       512         32         512        0                 4.24551      0.0617616
 4096     4    16394      1024         32         512        0                 3.08108      0.0691301


# one AMR level (4x)

# MPI    OMP    cores     nodes     max_grid    nzones    max_level    avg-time-per-step    stddev
#  512     1      512        32         32         512        1          OOM
# 1024     1     1024        64         32         512        1          OOM
 2048     1     2048       128         32         512        1               105.317        4.19868
 2048     2     4096       256         32         512        1                66.8652       3.54906
 2048     4     8192       512         32         512        1                48.5837       3.56045
 2048     8    16384      1024         32         512        1                36.5839       2.4316
# 4096     1     4096       256         32         512        1                71.3143       3.19988
# 4096     2     8192       512         32         512        1                49.3618       3.17413
# 4096     4    16394      1024         32         512        1                37.0667       2.54384
