# Analytic Sedov solution at t = 0.01 for a spherical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 512
#      eblast = 1.0
#      xgeom  = 3.0q0
#      omega  = 0.0q0
#      outfile = 'spherical_sedov.dat'
#
#      time   = 0.01q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
    1  1.171875E-03  1.520642E-16  2.146390E+17  1.305557E+01  3.348214E-02  3.466956E+08
    2  3.515625E-03  5.760186E-13  5.666296E+13  1.305557E+01  1.004464E-01  5.633051E+06
    3  5.859375E-03  2.656453E-11  1.228665E+12  1.305557E+01  1.674107E-01  8.294894E+05
    4  8.203125E-03  3.313312E-10  9.850843E+10  1.305557E+01  2.343750E-01  2.348717E+05
    5  1.054687E-02  2.181956E-09  1.495856E+10  1.305557E+01  3.013393E-01  9.152483E+04
    6  1.289062E-02  9.828160E-09  3.320959E+09  1.305557E+01  3.683036E-01  4.312467E+04
    7  1.523437E-02  3.440347E-08  9.487101E+08  1.305557E+01  4.352679E-01  2.304946E+04
    8  1.757812E-02  1.006263E-07  3.243577E+08  1.305557E+01  5.022321E-01  1.347740E+04
    9  1.992187E-02  2.572729E-07  1.268650E+08  1.305557E+01  5.691964E-01  8.428784E+03
   10  2.226562E-02  5.924873E-07  5.508796E+07  1.305557E+01  6.361607E-01  5.554211E+03
   11  2.460937E-02  1.255081E-06  2.600543E+07  1.305557E+01  7.031250E-01  3.816155E+03
   12  2.695312E-02  2.483052E-06  1.314468E+07  1.305557E+01  7.700893E-01  2.713120E+03
   13  2.929687E-02  4.640632E-06  7.033291E+06  1.305557E+01  8.370536E-01  1.984602E+03
   14  3.164062E-02  8.265238E-06  3.948939E+06  1.305557E+01  9.040179E-01  1.487080E+03
   15  3.398438E-02  1.412577E-05  2.310594E+06  1.305557E+01  9.709822E-01  1.137512E+03
   16  3.632813E-02  2.329378E-05  1.401187E+06  1.305557E+01  1.037947E+00  8.858129E+02
   17  3.867188E-02  3.722906E-05  8.767062E+05  1.305558E+01  1.104911E+00  7.006821E+02
   18  4.101562E-02  5.788129E-05  5.638950E+05  1.305559E+01  1.171875E+00  5.619441E+02
   19  4.335937E-02  8.780947E-05  3.717026E+05  1.305560E+01  1.238840E+00  4.562384E+02
   20  4.570313E-02  1.303208E-04  2.504516E+05  1.305563E+01  1.305805E+00  3.745036E+02
   21  4.804688E-02  1.896311E-04  1.721192E+05  1.305566E+01  1.372770E+00  3.104622E+02
   22  5.039063E-02  2.710479E-04  1.204189E+05  1.305572E+01  1.439736E+00  2.596817E+02
   23  5.273438E-02  3.811795E-04  8.562760E+04  1.305580E+01  1.506702E+00  2.189782E+02
   24  5.507812E-02  5.281704E-04  6.179781E+04  1.305591E+01  1.573670E+00  1.860290E+02
   25  5.742187E-02  7.219666E-04  4.521012E+04  1.305608E+01  1.640639E+00  1.591153E+02
   26  5.976563E-02  9.746121E-04  3.349105E+04  1.305632E+01  1.707611E+00  1.369489E+02
   27  6.210938E-02  1.300580E-03  2.509774E+04  1.305665E+01  1.774585E+00  1.185527E+02
   28  6.445312E-02  1.717139E-03  1.900996E+04  1.305710E+01  1.841565E+00  1.031774E+02
   29  6.679688E-02  2.244762E-03  1.454243E+04  1.305772E+01  1.908550E+00  9.024279E+01
   30  6.914062E-02  2.907573E-03  1.122805E+04  1.305855E+01  1.975545E+00  7.929508E+01
   31  7.148438E-02  3.733848E-03  8.744107E+03  1.305967E+01  2.042550E+00  6.997642E+01
   32  7.382812E-02  4.756559E-03  6.864803E+03  1.306114E+01  2.109570E+00  6.200234E+01
   33  7.617188E-02  6.013981E-03  5.430289E+03  1.306306E+01  2.176610E+00  5.514491E+01
   34  7.851563E-02  7.550366E-03  4.326136E+03  1.306556E+01  2.243676E+00  4.922028E+01
   35  8.085937E-02  9.416676E-03  3.469586E+03  1.306879E+01  2.310776E+00  4.407912E+01
   36  8.320313E-02  1.167142E-02  2.800198E+03  1.307292E+01  2.377917E+00  3.959938E+01
   37  8.554687E-02  1.438159E-02  2.273421E+03  1.307816E+01  2.445114E+00  3.568075E+01
   38  8.789062E-02  1.762367E-02  1.856139E+03  1.308479E+01  2.512379E+00  3.224031E+01
   39  9.023438E-02  2.148487E-02  1.523527E+03  1.309311E+01  2.579731E+00  2.920916E+01
   40  9.257812E-02  2.606448E-02  1.256835E+03  1.310350E+01  2.647192E+00  2.652975E+01
   41  9.492188E-02  3.147544E-02  1.041796E+03  1.311639E+01  2.714788E+00  2.415379E+01
   42  9.726562E-02  3.784621E-02  8.674798E+02  1.313233E+01  2.782550E+00  2.204061E+01
   43  9.960938E-02  4.532302E-02  7.254552E+02  1.315193E+01  2.850518E+00  2.015577E+01
   44  1.019531E-01  5.407247E-02  6.091793E+02  1.317593E+01  2.918737E+00  1.846999E+01
   45  1.042969E-01  6.428479E-02  5.135431E+02  1.320520E+01  2.987262E+00  1.695831E+01
   46  1.066406E-01  7.617784E-02  4.345350E+02  1.324077E+01  3.056160E+00  1.559935E+01
   47  1.089844E-01  9.000203E-02  3.689876E+02  1.328385E+01  3.125506E+00  1.437474E+01
   48  1.113281E-01  1.060465E-01  3.143871E+02  1.333586E+01  3.195392E+00  1.326864E+01
   49  1.136719E-01  1.246472E-01  2.687283E+02  1.339849E+01  3.265926E+00  1.226735E+01
   50  1.160156E-01  1.461964E-01  2.304044E+02  1.347372E+01  3.337233E+00  1.135898E+01
   51  1.183594E-01  1.711565E-01  1.981213E+02  1.356390E+01  3.409460E+00  1.053318E+01
   52  1.207031E-01  2.000763E-01  1.708329E+02  1.367185E+01  3.482777E+00  9.780921E+00
   53  1.230469E-01  2.336136E-01  1.476894E+02  1.380090E+01  3.557382E+00  9.094287E+00
   54  1.253906E-01  2.725643E-01  1.279979E+02  1.395507E+01  3.633503E+00  8.466335E+00
   55  1.277344E-01  3.179026E-01  1.111913E+02  1.413920E+01  3.711404E+00  7.890951E+00
   56  1.300781E-01  3.708338E-01  9.680336E+01  1.435918E+01  3.791387E+00  7.362736E+00
   57  1.324219E-01  4.328678E-01  8.444979E+01  1.462224E+01  3.873794E+00  6.876909E+00
   58  1.347656E-01  5.059205E-01  7.381234E+01  1.493727E+01  3.959017E+00  6.429223E+00
   59  1.371094E-01  5.924560E-01  6.462672E+01  1.531540E+01  4.047494E+00  6.015893E+00
