                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
                        0        108429311689.3689   -1.130031621482801e+19                        0                        0                        0                        0    1.809621435948105e+20    4.466558710294245e+27    3.456386246526811e+28    3.903042117556258e+28
    5.196588533248512e-11        108434094213.7278   -1.129298912764655e+19      -0.3005148709735295                        0                        0                        0    1.808449067971672e+20    4.465456762566985e+27    3.516580304696585e+28    3.963125980952905e+28
    1.065300649315945e-10        108439115864.3047   -1.128253558954584e+19      -0.9363676484238113                        0                        0                        0    1.806776402713453e+20    4.465598308828263e+27    3.587330655223389e+28     4.03389048610631e+28
    1.638224535106594e-10        108444388597.4104   -1.127193498114383e+19       -1.137007609306238                        0                        0                        0    1.805080096370626e+20    4.466231354545749e+27    3.668652934991142e+28    4.115276070445635e+28
    2.239794615186775e-10        108449924967.1714   -1.126217910693439e+19        0.236213332900661                        0                        0                        0    1.803518777773223e+20    4.467397210555717e+27    3.758685678149324e+28     4.20542539920482e+28
    2.871443199270965e-10        108455738155.4204   -1.125301188790562e+19       -3.591142542907619                        0                        0                        0    1.802051397218366e+20    4.469341435709539e+27    3.854217957193455e+28     4.30115210076431e+28
    3.534674212559365e-10        108461842003.0819   -1.124365426064256e+19        2.539680918911472                        0                        0                        0    1.800553209805769e+20    4.472233148196358e+27    3.952334947460981e+28    4.399558262280607e+28
    4.231066776512184e-10        108468251043.1265   -1.123351145054666e+19       -5.713101922534406                        0                        0                        0    1.798928938264558e+20    4.476092926184358e+27    4.051623986486978e+28    4.499233279105426e+28
    4.962278968662645e-10        108474980535.1732   -1.122179796305612e+19       -2.173407543159556                        0                        0                        0    1.797052770923356e+20    4.480887532153418e+27    4.151710954918476e+28    4.599799708133756e+28
    5.730051770420628e-10        108482046501.8225    -1.12082278026604e+19        2.657643553509843                        0                        0                        0    1.794878806215493e+20     4.48661445852504e+27    4.252084297250165e+28    4.700745743102678e+28
    6.536213212266511e-10        108489465766.8039   -1.119292382796481e+19      -0.7118211888009682                        0                        0                        0    1.792426488842521e+20    4.492860274405141e+27    4.351537575539631e+28    4.800823602980117e+28
    7.382682726204688e-10        108497255995.0347   -1.117625952348226e+19       -8.602213116071653                        0                        0                        0    1.789755477045606e+20    4.500043243687362e+27    4.448247441983263e+28    4.898251766351988e+28
    8.271475715839774e-10        108505435734.6769    -1.11585060360149e+19        13.19002332910895                        0                        0                        0    1.786908944106557e+20    4.508518865010234e+27    4.540409658241949e+28    4.991261544742969e+28
    9.204708354956614e-10        108514024461.3013   -1.113919168938849e+19        5.724733144976199                        0                        0                        0    1.783811159630623e+20     4.51809564238725e+27    4.626727784629964e+28    5.078537348868741e+28
     1.01846026260293e-09        108523042624.2568   -1.111806101584504e+19        18.04900819901377                        0                        0                        0    1.780421026235537e+20    4.528523412079438e+27    4.706471601471142e+28     5.15932394267914e+28
    1.121349161065561e-09        108532511695.3601   -1.109477695396129e+19       -8.340716232545674                        0                        0                        0    1.776684360343745e+20    4.539977952922721e+27    4.779285174471014e+28    5.233282969763302e+28
    1.229382504451325e-09        108542454220.0186   -1.106890576898302e+19        7.425984443631023                        0                        0                        0    1.772531379491451e+20    4.552475262445483e+27    4.845072431479698e+28    5.300319957724268e+28
    1.342817515006376e-09        108552893870.9099   -1.104005660023055e+19       0.2840770399197936                        0                        0                        0    1.767899340721963e+20    4.566176264811874e+27    4.903805233952098e+28    5.360422860433334e+28
     1.46192427608918e-09         108563855504.346   -1.100795106505587e+19       -21.78250192990527                        0                        0                        0    1.762743223880024e+20     4.58065923540017e+27    4.955585047364372e+28    5.413650970904393e+28
    1.586986375226124e-09        108575365219.4537   -1.097273845669826e+19       -2.259408158221049                        0                        0                        0    1.757086500478724e+20    4.596166825278217e+27    5.000513220378252e+28    5.460129902906082e+28
    1.718301579319915e-09        108587450420.3169   -1.093458878975293e+19       -11.57532930243178                        0                        0                        0    1.750955993670583e+20    4.612700640177794e+27    5.038860561337488e+28    5.500130625355262e+28
    1.856182543618396e-09        108600139881.2232   -1.089304346091283e+19       -10.11915843508905                        0                        0                        0    1.744277849065743e+20    4.630356456852768e+27    5.071030751879768e+28     5.53406639756502e+28
    2.000957556131801e-09        108613463815.1749   -1.084771741384846e+19       0.4715502524049953                        0                        0                        0    1.736989918463338e+20    4.649095839530373e+27    5.097605071703985e+28    5.562514655656972e+28
    2.152971319270876e-09        108627453945.8241    -1.07988913516622e+19       -9.439471687772311                        0                        0                        0    1.729136542561675e+20    4.668856259244604e+27    5.119335392467511e+28    5.586221018391946e+28
    2.312585770566905e-09        108642143583.0058   -1.074708774633015e+19       -19.32422232630779                        0                        0                        0    1.720800736710984e+20    4.689647604521409e+27    5.137028143753535e+28    5.605992904205669e+28
    2.480180944427736e-09        108657567702.0465   -1.069226502681966e+19       -32.26908417744562                        0                        0                        0      1.7119752273004e+20    4.711506342678448e+27    5.151505628024971e+28    5.622656262292878e+28
    2.656155876981608e-09        108673763027.0392   -1.063389853952917e+19        7.599225244484842                        0                        0                        0    1.702575453556719e+20    4.734519550057307e+27    5.163538100805531e+28    5.636990055811285e+28
    2.840929556163174e-09        108690768118.2817   -1.057218895594101e+19       -15.75253384650568                        0                        0                        0    1.692632875190167e+20    4.758682139517743e+27    5.173818828302983e+28    5.649687042254797e+28
    3.034941919303818e-09        108708623464.0863   -1.050744532839569e+19       -13.36626015756701                        0                        0                        0    1.682196086940084e+20    4.783722536760617e+27    5.182992242470379e+28    5.661364496146452e+28
    3.238654900601494e-09        108727371577.1811   -1.043931190543777e+19        49.07465605551988                        0                        0                        0    1.671207724285301e+20    4.810043867477996e+27    5.191550736911291e+28    5.672555123659078e+28
    3.452553530964054e-09        108747057095.9305    -1.03674373989088e+19       -21.22323560807854                        0                        0                        0    1.659610784994668e+20     4.83753391839519e+27     5.20004642089493e+28    5.683799812734422e+28
    3.677147092844741e-09        108767726890.6176    -1.02919862016187e+19       -29.32379288412631                        0                        0                        0    1.647431197010525e+20    4.866252441464889e+27    5.209045336634968e+28    5.695670580781441e+28
    3.912970332819464e-09        108789430175.0389   -1.021286060252586e+19        52.87097749160603                        0                        0                        0    1.634652802067516e+20    4.896214987626589e+27    5.219080788117348e+28    5.708702286880005e+28
    4.160584734792923e-09        108812218623.6814   -1.012975896079363e+19        4.969295347575098                        0                        0                        0    1.621227404648119e+20    4.927236668645018e+27    5.230557103451918e+28     5.72328077031646e+28
    4.420579856865054e-09        108836146494.7558   -1.004260671886846e+19       -42.26672517997213                        0                        0                        0    1.607143252768885e+20    4.959316317826024e+27    5.243651535950787e+28    5.739583167733433e+28
    4.693574735040792e-09        108861270759.3841   -9.951218242250277e+18       -66.74801556393504                        0                        0                        0    1.592370634469229e+20    4.992447450973366e+27     5.25841825664243e+28     5.75766300173979e+28
    4.980219357125317e-09        108887651237.2439   -9.855431532781122e+18        15.35747745633125                        0                        0                        0     1.57688501636534e+20    5.026287822893855e+27    5.274853141871907e+28    5.777481924161235e+28
    5.281196210314069e-09        108915350738.9965   -9.754951591637639e+18        58.48541017924435                        0                        0                        0    1.560640531139024e+20    5.062679993325017e+27    5.292583170450211e+28    5.798851169782694e+28
    5.597221906162257e-09        108944435215.8368   -9.649745601694697e+18        37.61088946858945                        0                        0                        0    1.543633082299881e+20    5.099515128515915e+27    5.311125078322421e+28    5.821076591174063e+28
    5.929048886802856e-09        108974973916.5191   -9.539292726954074e+18         29.2810025223007                        0                        0                        0    1.525780480061424e+20    5.138549889605961e+27    5.329386236529069e+28    5.843241225489665e+28
    6.275674473536102e-09        109006874562.5174   -9.424223081465178e+18       -9.893909868551418                        0                        0                        0    1.507185270817529e+20    5.178722432134085e+27    5.346913295308328e+28    5.864785538521736e+28
    6.620332779564826e-09        109038594155.7378   -9.309776191359431e+18       -7.995511287590489                        0                        0                        0    1.488694776019253e+20    5.218139511056415e+27    5.362989457113027e+28    5.884803408218639e+28
    6.963367359034414e-09        109070164314.1556   -9.196050101596107e+18       -16.09453580901027                        0                        0                        0     1.47032599414869e+20    5.257013071746994e+27    5.377970111980809e+28    5.903671419155508e+28
    7.305128490051941e-09        109101617274.5654    -9.08282448049792e+18        49.72843111259863                        0                        0                        0    1.452046203497409e+20    5.295579780322545e+27    5.392121869265294e+28    5.921679847297566e+28
