#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
           0       0.0000000000000000   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935269245825e-53   5.4530935176542108e-23   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33   5.4530935176543504e-33
           1       0.0000000000519659   4.0889228979287024e-33   5.4533268179940514e-33   2.6992992046698101e-25   5.2912340280535591e-23   1.4992247331479332e-32   8.0035038290171058e-28   1.3483131982363296e-24   1.9541004489783302e-27   2.5522067942946979e-30   5.7650866138783565e-33   5.4535757964739227e-33   5.4550331889490389e-33   5.4520153037514683e-33   5.4533953001986583e-33   5.4534504435493912e-33   5.4557014123716985e-33   5.4509488298984089e-33   5.4533340461007324e-33   5.4534217263952533e-33
           2       0.0000000001065301   3.7998996030569148e-33   5.4535711615057995e-33   5.8102815972494445e-25   5.1033701798120638e-23   1.6960983400347724e-32   4.4129669211888553e-27   2.8973052568749063e-24   1.9310035195833981e-26   1.0759698599779352e-28   6.5523146458311417e-32   5.4964925713000646e-33   5.4596311918187308e-33   5.4495544680869560e-33   5.4539236832027043e-33   5.4542186242230197e-33   5.4604261537151238e-33   5.4468820156450422e-33   5.4535866086870057e-33   5.4538399257959404e-33
           3       0.0000000001638225   3.7328354885133412e-33   5.4538269660086373e-33   9.2015884663901068e-25   4.8949556189448633e-23   1.7315171575698210e-32   1.4049738948184171e-26   4.5743702844075248e-24   7.9210267575514860e-26   1.1705411824408080e-27   1.7543065786421191e-30   8.7193630988447379e-33   5.4720131249024526e-33   5.4442684910923611e-33   5.4548980282511167e-33   5.4557990215508935e-33   5.4692781417993567e-33   5.4390903675489808e-33   5.4538518434746471e-33   5.4544231907079680e-33
           4       0.0000000002239795   3.7151923804716559e-33   5.4540946654863953e-33   1.2594174011475857e-24   4.6791591254194688e-23   1.7251704867307821e-32   3.5719322012070148e-26   6.2277287761832993e-24   2.1994893162151663e-25   6.8745450703026552e-27   2.1644022028779608e-29   9.0875360263849222e-32   5.6739957911249813e-33   5.4336029090577187e-33   5.4566736571511988e-33   5.4588533575444031e-33   5.4859216161605062e-33   5.4242742031070020e-33   5.4541305066436469e-33   5.4553079665024998e-33
           5       0.0000000002871443   3.7097432478927741e-33   5.4543747307451976e-33   1.5615245833708742e-24   4.4743538211081531e-23   1.7025732822282352e-32   7.9364349627459698e-26   7.6531181789023137e-24   4.7881024462093869e-25   2.7708738201489001e-26   1.6003607695834937e-28   1.1696795605347965e-30   1.0193779294986098e-32   5.4159276247306767e-33   5.4597149294483112e-33   5.4643273978384816e-33   5.5164525507033200e-33   5.3968897880119072e-33   5.4544237617475000e-33   5.4567211689917984e-33
           6       0.0000000003534674   3.7075975692409793e-33   5.4546676840707354e-33   1.7947996110646327e-24   4.2966840338148243e-23   1.6702872551833836e-32   1.5896732895631242e-25   8.6712846310409058e-24   8.6973291518483507e-25   8.4845266545821608e-26   8.1518001368700875e-28   9.9082935827749177e-30   7.1037628716030818e-32   5.4430475856956010e-33   5.4646374999013898e-33   5.4733460866750126e-33   5.5698155780540968e-33   5.3486928334576925e-33   5.4547341448706879e-33   5.4589965911686215e-33
           7       0.0000000004231067   3.7063939750602684e-33   5.4549740963698497e-33   1.9460315396939558e-24   4.1537475566967396e-23   1.6311440534541776e-32   2.9131870375590984e-25   9.1955919838806535e-24   1.3676817347411953e-24   2.0926232241114923e-25   3.0978908686473975e-27   5.8130908413300230e-29   5.9127925224530671e-31   6.2434951438308469e-33   5.4772619658072214e-33   5.4870561061108549e-33   5.6575261114837206e-33   5.2689395286849942e-33   5.4550683287327902e-33   5.4625673754706588e-33
           8       0.0000000004962279   3.7054538948165841e-33   5.4552945768054635e-33   2.0209193203677205e-24   4.0446715044007653e-23   1.5872483519819913e-32   4.9393175021690498e-25   9.2350079361349568e-24   1.9137196592148720e-24   4.3404103606395889e-25   9.3110974873237498e-27   2.5332247718990611e-28   3.6667678725534993e-30   1.3712187193857689e-32   5.5797269344896889e-33   5.5071154131822655e-33   5.7921989821187928e-33   5.1458407653832585e-33   5.4554439742632965e-33   5.4679183703716685e-33
           9       0.0000000005730052   3.7044937925311856e-33   5.4556297719194646e-33   2.0363517157970750e-24   3.9640503077949099e-23   1.5404511216462419e-32   7.8203238282996418e-25   8.8559664713384115e-24   2.4350263665401800e-24   7.8350975718426162e-25   2.3181128996169306e-26   8.6831713326393457e-28   1.7162235063803055e-29   6.0080349830765545e-32   6.5239819698458520e-33   5.5447655362663100e-33   5.9837117169549009e-33   4.9705478600447310e-33   5.4559045515813830e-33   5.4754588504793229e-33
