# Castro       git describe: 23.04-2-gabeccccb9
# AMReX        git describe: 23.04-9-g1e73fa8ec
# Microphysics git describe: 23.04-3-gdc41ef4e
#
# ROCm 5.3.0
# GCC 12.2.0
# this has rate tabulation disabled

# nodes  rocm      mag_grid_size   avg time /   std dev
#                          step
  48      5.3          128           54.8589       0.122771
  64      5.3          128           40.3903       0.178134
 128      5.3          128           21.9101       0.116001
 256      5.3          128           12.4479       1.12553
 384      5.3          128            9.83657      0.415685
 512      5.3          128            6.94542      0.0405788
1024      5.3          128            4.97509      0.0601319
2048      5.3          128            3.99658      0.0327854

# nodes  rocm      mag_grid_size   avg time /   std dev
#                          step
#  48      5.2          128           54.5372       0.308927
#  64      5.2          128           39.9173       0.239493
# 128      5.2          128           21.7956       0.15736
# 256      5.2          128           11.9139       0.0814539
# 384      5.2          128            9.83363      0.352897
# 512      5.2          128            6.99018      0.0698918
#1024      5.2          128            5.2249       0.408811

