# this was run on 2017-10-07 using the Sedov in 3-d on
# titan with helmeos and inputs.starlord with the PGI 17.7 compilers.
#
# run for 10 steps and then average time for last 5

# MPI    OMP    cores     nodes     max_grid    nzones   max_level    avg-time-per-step      stddev
  256     1      256        16         64          512      0                27.3737        0.037914
  512     1      512        32         64          512      0                13.797         0.0480446
  512     2     1024        64         64          512      0                 7.02318       0.0126529
  512     4     2048       128         64          512      0                 3.61333       0.00935958
  512     8     4096       256         64          512      0                 2.01249       0.0299526

 2048     1     2048       128         64         1024      0                27.4302        0.039496
 4096     1     4096       256         64         1024      0                14.0757        0.276087
 4096     2     8192       512         64         1024      0                 7.11302       0.00464732
 4096     4    16384      1024         64         1024      0                 3.67513       0.00847975
 4096     8    32768      2048         64         1024      0                 2.05405       0.0142505

 6912     1     6912       432         64         1536      0                27.5459        0.100138
13824     1    13824       864         64         1536      0                14.041         0.0896588
13824     2    27648      1728         64         1536      0                 7.15245       0.0197148
13824     4    55296      3456         64         1536      0                 3.7265        0.00461254
13824     8   110592      6912         64         1536      0                 2.1079        0.0216659



# 1 level, blocking_factor = 8
# MPI    OMP    cores     nodes     max_grid    nzones   max_level    avg-time-per-step      stddev
# 2048     1     2048       128         64         1024      1                62.9596        7.87975
# 4096     1     4096       256         64         1024      1                44.4701       10.4288
# 4096     2     8192       512         64         1024      1                23.5499        5.92599
# 4096     4    16384      1024         64         1024      1                13.4561        3.67212
# 4096     8    32768      2048         64         1024      1                 8.52401       2.89531


# 1 level, blocking_factor = 16 (can't compare these #s to above, since more zones with this blocking factor)
# MPI    OMP    cores     nodes     max_grid    nzones   max_level    avg-time-per-step      stddev
 2048     1     2048       128         64         1024      1                78.0444        7.11191
 2048     2     4096       256         64         1024      1                41.9756        3.8821
 2048     4     8192       512         64         1024      1                24.5403        2.40322
 2048     8    16384      1024         64         1024      1                14.2543        1.57262
 2048    16    32768      2048         64         1024      1                8.70782       1.3139
# 4096     1     4096       256         64         1024      1                51.487        13.5009
# 4096     2     8192       512         64         1024      1                26.6659        7.14374
# 4096     4    16384      1024         64         1024      1                14.9838        4.11424
# 4096     8    32768      2048         64         1024      1                 8.88012       2.59245


# 1 4x level, blocking factor = 16
# MPI    OMP    cores     nodes     max_grid    nzones   max_level    avg-time-per-step      stddev
# 2048     1     2048       128         64         1024      1   OOM
# 4096     1     4096       256         64         1024      1    OOM
 4096     2     8192       512         64         1024      14                135.137         6.23752
 4096     4    16384      1024         64         1024      14                 79.4846        4.28278
 4096     8    32768      2048         64         1024      14                 47.4894        3.41423

